id,Price
0,4813180.565024462
1,13531880.377080115
2,10616638.333997274
3,1979235.0819186866
4,2441078.6723025823
5,2810917.9955927916
6,3457782.484005985
7,3192050.9755213745
8,5806936.944638548
9,6639119.497685846
10,5896590.322722675
11,5382443.901810776
12,6378436.461957049
13,1161667.9549368909
14,1277169.160605304
15,5879009.99877738
16,6176573.795160374
17,6176573.795160374
18,6716863.417138582
19,4463255.687313385
20,13531880.377080115
21,7548546.330812687
22,6526460.436712325
23,6176573.795160374
24,2031212.6864934033
25,3755346.2803889774
26,1979235.0819186866
27,2909152.472316101
28,3108481.791975784
29,6370182.382393932
30,6476997.957756428
31,3509760.0885807015
32,6448216.877886398
33,3755346.2803889774
34,3108481.791975784
35,6321065.144032277
36,3509760.0885807015
37,5879009.99877738
38,2862895.6001675082
39,14574438.60693288
40,5879009.99877738
41,6321065.144032277
42,2293929.429986002
43,5879009.99877738
44,6176573.795160374
45,7017287.5797346365
46,6624108.963913884
47,3108481.791975784
48,3755346.2803889774
49,3755346.2803889774
50,6176573.795160374
51,6476997.957756428
52,3108481.791975784
53,2467240.094887061
54,6526460.436712325
55,5879009.99877738
56,6321065.144032277
57,6321065.144032277
58,3755346.2803889774
59,6370182.382393932
60,5977244.475500692
61,6176573.795160374
62,3252973.1408476876
63,716159.9033821053
64,12870332.373971032
65,5879009.99877738
66,3457782.484005985
67,6254472.113392061
68,5879009.99877738
69,13748494.647203071
70,12867694.495167311
71,1337764.3068555463
72,12506366.388763113
73,6685203.749537319
74,6225691.0335220285
75,3108481.791975784
76,12668228.998246847
77,3310430.7689210195
78,3755346.2803889774
79,3903051.6197560467
80,9784955.420323169
81,13361400.225920854
82,6716863.417138582
83,13124672.284715615
84,2363314.738208892
85,12772048.030135503
86,13361400.225920854
87,6716863.417138582
88,50250818.02720227
89,6321065.144032277
90,13624271.368192403
91,5257875.382205866
92,3310430.7689210195
93,3457782.484005985
94,5879009.99877738
95,6716863.417138582
96,6321065.144032277
97,5058736.904361473
98,3279011.8102472667
99,13644539.438053636
100,3457782.484005985
101,3457782.484005985
102,6378436.461957049
103,26944954.786245994
104,2946187.631749248
105,13684730.337181864
106,6176573.795160374
107,3457782.484005985
108,5532451.7172176335
